City Or County,State,Week Start,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
Abbeville,AL,2024-01-01,0,12,0.0,0.0,0.0
Abbeville,LA,2014-09-08,0,7,0.0,0.0,0.0
Abbeville,LA,2023-02-20,0,8,0.0,0.0,2.0
Abbeville,SC,2019-06-17,6,2,0.0,0.0,1.0
Aberdeen,MD,2018-09-17,7,6,1.0,0.0,0.0
Aberdeen,MS,2014-10-06,2,2,0.0,0.0,0.0
Abington,MA,2019-10-07,9,0,1.0,0.0,0.0
Accomack County,VA,2014-11-17,0,4,0.0,0.0,0.0
Acworth,GA,2021-03-15,12,2,0.0,0.0,1.0
Adams Co.,CO,2024-02-26,0,10,0.0,0.0,0.0
Adams Co. (Natchez),MS,2024-12-30,2,8,0.0,0.0,0.0
Adelanto,CA,2023-05-01,2,5,0.0,0.0,0.0
Adelanto,CA,2023-05-08,2,7,0.0,0.0,0.0
Adelanto,CA,2024-01-22,6,0,0.0,0.0,5.0
Adelphi,MD,2021-07-19,1,4,0.0,0.0,0.0
Aguanga,CA,2020-09-07,14,0,0.0,0.0,0.0
Aguas Buenas,PR,2013-04-29,4,6,0.0,0.0,0.0
Ahoskie,NC,2021-11-01,1,5,0.0,0.0,0.0
Aiken,SC,2014-10-13,1,3,0.0,0.0,0.0
Aiken,SC,2020-11-23,2,14,0.0,0.0,4.0
Aiken,SC,2021-09-20,7,2,1.0,0.0,0.0
Akron,AL,2020-06-22,0,14,0.0,0.0,1.0
Akron,OH,2013-04-15,4,0,0.0,0.0,0.0
Akron,OH,2014-11-10,2,8,0.0,0.0,1.0
Akron,OH,2016-07-11,2,6,0.0,0.0,0.0
Akron,OH,2017-06-26,1,3,0.0,0.0,0.0
Akron,OH,2019-06-24,2,6,0.0,0.0,5.0
Akron,OH,2019-10-07,0,8,0.0,0.0,0.0
Akron,OH,2021-08-09,0,10,0.0,0.0,0.0
Akron,OH,2023-07-03,0,8,0.0,0.0,0.0
Akron,OH,2024-05-27,3,86,0.0,0.0,0.0
Akron,OH,2024-07-01,0,12,0.0,0.0,1.0
Alachua,FL,2018-01-15,0,10,0.0,0.0,2.0
Alamagordo,NM,2022-06-06,0,4,0.0,0.0,0.0
Alameda,CA,2024-07-08,15,0,0.0,0.0,1.0
Alamogordo,NM,2022-06-06,0,4,0.0,1.0,1.0
Albany,GA,2017-01-23,4,6,0.0,0.0,1.0
Albany,GA,2018-09-03,0,8,0.0,0.0,1.0
Albany,GA,2019-01-21,0,8,0.0,0.0,0.0
Albany,GA,2020-05-04,2,6,0.0,0.0,9.0
Albany,GA,2020-08-31,2,6,0.0,0.0,0.0
Albany,GA,2023-01-02,0,8,0.0,0.0,0.0
Albany,GA,2024-04-08,0,12,0.0,0.0,6.0
Albany,GA,2024-07-01,1,3,0.0,0.0,2.0
Albany,GA,2024-10-14,3,12,0.0,0.0,1.0
Albany,NY,2016-11-21,2,6,0.0,0.0,1.0
Albany,NY,2018-07-02,0,8,0.0,0.0,0.0
Albany,NY,2020-06-15,0,14,0.0,0.0,0.0
Albany,NY,2020-08-03,2,6,0.0,0.0,0.0
Albany,NY,2021-01-25,3,8,0.0,0.0,4.0
Albany,NY,2021-05-17,2,10,0.0,0.0,1.0
Albany,NY,2021-08-23,0,10,0.0,0.0,0.0
Albany,NY,2021-10-04,2,12,0.0,0.0,0.0
Albany,NY,2022-08-01,0,10,0.0,0.0,0.0
Albany,NY,2022-08-22,0,12,0.0,0.0,0.0
Albany,NY,2024-07-01,2,24,0.0,0.0,0.0
Albemarle,NC,2019-07-22,3,1,0.0,0.0,0.0
Albert Lea,MN,2020-11-23,0,4,0.0,0.0,0.0
Albertville,AL,2021-06-14,5,4,1.0,0.0,0.0
Albion,MI,2015-09-14,0,8,0.0,0.0,0.0
Albuquerque,NM,2013-01-14,5,0,0.0,0.0,0.0
Albuquerque,NM,2013-10-21,1,4,0.0,0.0,0.0
Albuquerque,NM,2014-08-04,2,6,0.0,0.0,0.0
Albuquerque,NM,2015-03-16,2,12,0.0,0.0,0.0
Albuquerque,NM,2016-03-28,3,1,0.0,0.0,0.0
Albuquerque,NM,2016-04-04,0,8,0.0,0.0,1.0
Albuquerque,NM,2016-08-08,4,4,0.0,0.0,3.0
